episode,reward,score,length,epsilon,td_error,timestamp
1,-6.2145,0,50,0.995000,0.000000,2026-05-27T15:24:05.487121
2,-6.2203,0,50,0.990025,0.000000,2026-05-27T15:24:05.829373
3,-6.2047,0,50,0.985075,0.000000,2026-05-27T15:24:06.163777
4,-6.2457,0,50,0.980150,0.000000,2026-05-27T15:24:06.511225
5,-6.2320,0,50,0.975249,0.000000,2026-05-27T15:24:06.845904
6,-6.2184,0,50,0.970373,0.000000,2026-05-27T15:24:07.180269
7,-6.1910,0,50,0.965521,0.000000,2026-05-27T15:24:07.514200
8,-6.1949,0,50,0.960693,0.000000,2026-05-27T15:24:07.927654
9,-6.2184,0,50,0.955890,0.000000,2026-05-27T15:24:08.262177
10,-6.1969,0,50,0.951110,0.006083,2026-05-27T15:24:08.664855
11,-6.2594,0,50,0.946355,0.172600,2026-05-27T15:24:09.049268
12,-6.2047,0,50,0.941623,0.172240,2026-05-27T15:24:09.434243
13,-6.2281,0,50,0.936915,0.171667,2026-05-27T15:24:09.821174
14,-6.2301,0,50,0.932230,0.162904,2026-05-27T15:24:10.204331
15,-6.1637,0,50,0.927569,0.173985,2026-05-27T15:24:10.588985
16,-6.2320,0,50,0.922931,0.194049,2026-05-27T15:24:10.974087
17,-6.1754,0,50,0.918316,0.184556,2026-05-27T15:24:11.359326
18,-6.2516,0,50,0.913725,0.221949,2026-05-27T15:24:11.743535
19,-6.2320,0,50,0.909156,0.172088,2026-05-27T15:24:12.126670
20,-6.1754,0,50,0.904610,0.168261,2026-05-27T15:24:12.511091
21,-6.2105,0,50,0.900087,0.159810,2026-05-27T15:24:12.894677
22,-6.2047,0,50,0.895587,0.190716,2026-05-27T15:24:13.280441
23,-6.1988,0,50,0.891109,0.164387,2026-05-27T15:24:13.668263
24,-6.2047,0,50,0.886654,0.188448,2026-05-27T15:24:14.066745
25,-6.2457,0,50,0.882220,0.192238,2026-05-27T15:24:14.457170
